BBL,Address,Building_Name,Owner,Wikipedia_Link
1012620001,"1180 Ave Of The Americas, New York, NY 10036",,,https://en.wikipedia.org/wiki/1180_Avenue_of_the_Americas
1012670001,1290 Ave Of The Americas,,,https://en.wikipedia.org/wiki/1290_Avenue_of_the_Americas
1012690001,"1330 Ave Of The Americas, New York, NY 10019",,1330 CE26,https://en.wikipedia.org/wiki/1330_Avenue_of_the_Americas
1012700071,1350 Ave Of The Americas,,,https://en.wikipedia.org/wiki/1350_Avenue_of_the_Americas
1012710071,"1370 Ave Of The Americas, New York, NY 10019",,Barings,https://en.wikipedia.org/wiki/1370_Avenue_of_the_Americas
1012720066,"48 W 57th St, New York, NY 10019",,,https://en.wikipedia.org/wiki/48_West_57th_Street
1012730001,"1400 Ave Of The Americas, New York, NY 10019",,,https://en.wikipedia.org/wiki/1400_Avenue_of_the_Americas
1012750023,285 Madison Ave,,,https://en.wikipedia.org/wiki/285_Madison_Avenue
1012750027,100 Park Ave,,,https://en.wikipedia.org/wiki/100_Park_Avenue
1012750059,"292 Madison Ave, New York, NY 10017",,,https://en.wikipedia.org/wiki/292_Madison_Avenue
1012770014,330 Madison Ave,,,https://en.wikipedia.org/wiki/330_Madison_Avenue
1012780014,"340 Madison Ave, New York, NY 10173",,Barings,https://en.wikipedia.org/wiki/340_Madison_Avenue
1012790057,"352 Madison Ave, New York, NY 10017",,,https://en.wikipedia.org/wiki/352_Madison_Avenue
1012830017,400 Madison Ave Ave Ave,400 Madison Avenue,,https://en.wikipedia.org/wiki/400_Madison_Avenue
1012840002,597 5 Ave,Scribner Building,,https://en.wikipedia.org/wiki/Scribner_Building
1012850021,437 Madison Ave,,,https://en.wikipedia.org/wiki/437_Madison_Avenue
1012870014,488 Madison Ave,,,https://en.wikipedia.org/wiki/488_Madison_Avenue
1012870021,"477 Madison Ave, New York, NY 10022",,,https://en.wikipedia.org/wiki/477_Madison_Avenue
1012870033,"350 Park Ave, New York, NY 10022",,,https://en.wikipedia.org/wiki/350_Park_Avenue
1012870052,"485 Madison Ave, New York, NY 10022",,Jack Resnick & Sons,https://en.wikipedia.org/wiki/485_Madison_Avenue
